cat_yahoofinanzas,emisora,benchmark_morningstar,clas_cnbv,link_cnbv,familia,link_morningstar,link_yahoofinanzas1,link_yahoofinanzas2
,+CIGUB BM-2,,Deuda PM - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000S7NB&SecurityToken=F00000S7NB%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000S7NB,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBM2.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBM-2.MX
,+CIGUB BM-3,,Deuda PM - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001ZIQ&SecurityToken=F000001ZIQ%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001ZIQ,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBM3.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBM-3.MX
,+CIGUB BM-5,,Deuda PM - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000002MX2&SecurityToken=F000002MX2%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000002MX2,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBM5.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBM-5.MX
,+CIPLUS BE,,Dueda PF - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000HHII&SecurityToken=F00000HHII%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000HHII,https://es-us.finanzas.yahoo.com/q/hp?s=CIPLUSBE.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIPLUSBE.MX
,+CIPLUS BF-2,,Dueda PF - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000TEVI&SecurityToken=F00000TEVI%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000TEVI,https://es-us.finanzas.yahoo.com/q/hp?s=CIPLUSBF2.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIPLUSBF-2.MX
,+CIPLUS BF-5,,Dueda PF - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000QL7C&SecurityToken=F00000QL7C%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000QL7C,https://es-us.finanzas.yahoo.com/q/hp?s=CIPLUSBF5.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIPLUSBF-5.MX
,+CIPLUS BF-7,,Dueda PF - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000459L&SecurityToken=F00000459L%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000459L,https://es-us.finanzas.yahoo.com/q/hp?s=CIPLUSBF7.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIPLUSBF-7.MX
,+CIPLUS BM-3,,Dueda PF - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000QL7B&SecurityToken=F00000QL7B%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000QL7B,https://es-us.finanzas.yahoo.com/q/hp?s=CIPLUSBM3.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIPLUSBM-3.MX
,+CIPLUS BM-5,,Dueda PF - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000JP5Q&SecurityToken=F00000JP5Q%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000JP5Q,https://es-us.finanzas.yahoo.com/q/hp?s=CIPLUSBM5.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIPLUSBM-5.MX
,+CIUSD BF-7,,Dueda PF - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000W5D9&SecurityToken=F00000W5D9%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000W5D9,https://es-us.finanzas.yahoo.com/q/hp?s=CIUSDBF7.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIUSDBF-7.MX
,+CIUSD BM-3,,Dueda PF - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000W5DA&SecurityToken=F00000W5DA%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000W5DA,https://es-us.finanzas.yahoo.com/q/hp?s=CIUSDBM3.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIUSDBM-3.MX
,+CIVRDE BE-1,,Común - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000PC9T&SecurityToken=F00000PC9T%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000PC9T,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE1.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE-1.MX
,+CIVRDE BE-3,,Común - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000PC9U&SecurityToken=F00000PC9U%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000PC9U,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE3.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE-3.MX
,+CIVRDE BE-5,,Común - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000S7NC&SecurityToken=F00000S7NC%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000S7NC,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE5.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE-5.MX
,+CIVRDE BF-3,,Común - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000048Z&SecurityToken=F00000048Z%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000048Z,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBF3.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBF-3.MX
,+CIVRDE BF-5,,Común - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000PAAZ&SecurityToken=F00000PAAZ%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000PAAZ,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBF5.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBF-5.MX
,+CIVRDE BF-7,,Común - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000P25R&SecurityToken=F00000P25R%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000P25R,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBF7.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBF-7.MX
,+CIVRDE BM-1,,Común - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000OW29&SecurityToken=F00000OW29%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000OW29,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBM1.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBM-1.MX
,+MVJER BF-1,,Dueda PF - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000LLTA&SecurityToken=F00000LLTA%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000LLTA,https://es-us.finanzas.yahoo.com/q/hp?s=MVJERBF1.MX,https://es-us.finanzas.yahoo.com/q/hp?s=MVJERBF-1.MX
,+MVJER BF-14,,Dueda PF - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000LLTB&SecurityToken=F00000LLTB%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000LLTB,https://es-us.finanzas.yahoo.com/q/hp?s=MVJERBF14.MX,https://es-us.finanzas.yahoo.com/q/hp?s=MVJERBF-14.MX
,+MVJER BF-28,,Dueda PF - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000LLTC&SecurityToken=F00000LLTC%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000LLTC,https://es-us.finanzas.yahoo.com/q/hp?s=MVJERBF28.MX,https://es-us.finanzas.yahoo.com/q/hp?s=MVJERBF-28.MX
,+MVJER BF-7,,Dueda PF - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000LLTD&SecurityToken=F00000LLTD%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000LLTD,https://es-us.finanzas.yahoo.com/q/hp?s=MVJERBF7.MX,https://es-us.finanzas.yahoo.com/q/hp?s=MVJERBF-7.MX
,+TASA F1,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000005MZ&SecurityToken=F0000005MZ%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000005MZ,https://es-us.finanzas.yahoo.com/q/hp?s=TASAF1.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAF1.MX
,+TASA F2,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000005N2&SecurityToken=F0000005N2%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000005N2,https://es-us.finanzas.yahoo.com/q/hp?s=TASAF2.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAF2.MX
,+TASA F3,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001W41&SecurityToken=F000001W41%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001W41,https://es-us.finanzas.yahoo.com/q/hp?s=TASAF3.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAF3.MX
,+TASA F4,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001W42&SecurityToken=F000001W42%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001W42,https://es-us.finanzas.yahoo.com/q/hp?s=TASAF4.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAF4.MX
,+TASA F5,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000002T81&SecurityToken=F000002T81%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000002T81,https://es-us.finanzas.yahoo.com/q/hp?s=TASAF5.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAF5.MX
,+TASA M1,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000005MU&SecurityToken=F0000005MU%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000005MU,https://es-us.finanzas.yahoo.com/q/hp?s=TASAM1.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAM1.MX
,+TASA M2,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000005MF&SecurityToken=F0000005MF%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000005MF,https://es-us.finanzas.yahoo.com/q/hp?s=TASAM2.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAM2.MX
,+TASA M3,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001W43&SecurityToken=F000001W43%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001W43,https://es-us.finanzas.yahoo.com/q/hp?s=TASAM3.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAM3.MX
,+TASA M4,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000002T82&SecurityToken=F000002T82%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000002T82,https://es-us.finanzas.yahoo.com/q/hp?s=TASAM4.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAM4.MX
,+TASA ME1,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001W44&SecurityToken=F000001W44%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001W44,https://es-us.finanzas.yahoo.com/q/hp?s=TASAME1.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAME1.MX
,+TASA ME2,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001ZG3&SecurityToken=F000001ZG3%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001ZG3,https://es-us.finanzas.yahoo.com/q/hp?s=TASAME2.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAME2.MX
,+TASA ME3,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000002T83&SecurityToken=F000002T83%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000002T83,https://es-us.finanzas.yahoo.com/q/hp?s=TASAME3.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAME3.MX
,+TASA ME4,,Deuda PF - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000002T84&SecurityToken=F000002T84%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000002T84,https://es-us.finanzas.yahoo.com/q/hp?s=TASAME4.MX,https://es-us.finanzas.yahoo.com/q/hp?s=TASAME4.MX
